WKT,Drawings
"MULTIPOLYGON (((123.767686931473 10.2437022119858,123.756679048692 10.2417326749797,123.756679048692 10.2417326749797,123.756011904281 10.2450152298595,123.758013337514 10.2509237429817,123.762349776185 10.2551909339348,123.767019787062 10.2581451093756,123.769688364706 10.2627404386008,123.768354075884 10.2666792391115,123.771689797939 10.2761978044982,123.742669016061 10.2735720219809,123.740667582828 10.2739002459885,123.749674032377 10.2807928714033,123.747672599144 10.2860442945876,123.744003304883 10.2962186784039,123.747672599144 10.299500667702,123.756011904281 10.2968750789961,123.758680481925 10.2935930623753,123.762683348391 10.3106591757148,123.767686931473 10.3155819212425,123.768020503679 10.3050799710993,123.769688364706 10.2916238360129,123.776026236611 10.2883417647665,123.78269768072 10.2876853464216,123.78936912483 10.2844032342235,123.791036985858 10.2794800019641,123.792704846885 10.2811210879105,123.798375574378 10.2847314469787,123.800710579817 10.2873571367373,123.804713446283 10.2873571367373,123.812385607009 10.2873571367373,123.813386323626 10.2893263897243,123.813719895831 10.2926084507304,123.81972419553 10.2955622764457,123.83306708375 10.2955622764457,123.83673637801 10.3050799710993,123.845409255353 10.3070491134223,123.849078549613 10.3070491134223,123.853414988285 10.3116437309771,123.85374856049 10.3182073540495,123.855082849312 10.324770840233,123.865423587682 10.3326468428427,123.878099331491 10.3359284523495,123.876765042669 10.3290370328062,123.875430753847 10.3267398593823,123.869092881943 10.3214891142575,123.864422871066 10.3172228193132,123.860086432394 10.3103309899433,123.858418571367 10.3031108164713,123.855082849312 10.2965468788708,123.850746410641 10.280464654555,123.843074249914 10.2758695828765,123.835735661394 10.2752131386106,123.831065650517 10.275541360914,123.822726345379 10.2666792391115,123.814053468037 10.2624122030117,123.808049168338 10.2637251433254,123.792704846885 10.2607710199594,123.788368408214 10.2565039042,123.778027669843 10.2512519904804,123.767686931473 10.2437022119858)))",Pink area
"MULTIPOLYGON (((123.727574332733 10.368890617219,123.724090798379 10.368645856699,123.73031139544 10.3750095680316,123.733546105911 10.3747648122958,123.736283168618 10.3747648122958,123.738273759678 10.3767228528228,123.741508470149 10.3799046425451,123.753452016506 10.3899393057785,123.753700840388 10.3855338835325,123.750217306034 10.3808836482565,123.752207897094 10.3772123610401,123.7549449598 10.3759885890609,123.758428494154 10.3767228528228,123.766390858392 10.3786808810969,123.76614203451 10.3828416504857,123.765395562863 10.3877366024172,123.763653795685 10.3972815381628,123.771367336041 10.4063367203363,123.771118512158 10.4026657321997,123.771118512158 10.3977710141849,123.771367336041 10.3916525087698,123.774104398748 10.383820647003,123.773606750983 10.3777018684916,123.770123216629 10.367911573991,123.762160852391 10.3674220512292,123.74673377168 10.3674220512292,123.734790225324 10.3676668127057,123.727574332733 10.368890617219)))",Pink area
"MULTIPOLYGON (((123.714635490847 10.3911630231594,123.703438416137 10.4043788653711,123.703438416137 10.4043788653711,123.70368724002 10.4048683302642,123.708166069904 10.4046235979136,123.714386666964 10.4056025261641,123.717123729671 10.4053577943894,123.743001413444 10.4200413609507,123.738024935795 10.4161258108226,123.73852258356 10.412699664109,123.743001413444 10.4087840217649,123.744743180621 10.4119654849147,123.749719658269 10.423467426948,123.752954368741 10.4337453987755,123.761165556861 10.4403524871248,123.773109103218 10.4511192932256,123.784057354045 10.4577260122286,123.780573819691 10.4523427703121,123.7733579271 10.4447571347037,123.761912028508 10.4349689442427,123.760667909096 10.4300747335075,123.760170261331 10.4251804458151,123.760667909096 10.4200413609507,123.769127921099 10.4219991175631,123.778085580866 10.4288511687978,123.780324995808 10.4337453987755,123.780324995808 10.4361924848979,123.780573819691 10.4410865993882,123.784057354045 10.4467147358156,123.789531479458 10.4543003236256,123.797245019813 10.4596835316005,123.796996195931 10.4557684805124,123.794259133224 10.4503852046604,123.796747372049 10.4486723245957,123.801226201932 10.4508745972299,123.803714440757 10.4520980752804,123.809686213935 10.4547897100259,123.816653282643 10.4596835316005,123.822127408056 10.4662900683155,123.832080363354 10.4748538879395,123.847507444064 10.488310840581,123.849498035124 10.4892895052311,123.849249211241 10.4758325951175,123.843526261945 10.469715624551,123.837056841002 10.4648219612035,123.829592124529 10.4616410386258,123.824366822998 10.4579707028252,123.81839504982 10.4538109364541,123.812174452759 10.4486723245957,123.807197975111 10.4442677324991,123.79998208252 10.4401077826518,123.798240315343 10.4376607273316,123.795005604872 10.4330112691857,123.789531479458 10.4273828847979,123.78455500181 10.4215096795634,123.782813234633 10.4205308012572,123.781320291338 10.4188177568208,123.780822643573 10.4171047029668,123.776592637572 10.4134338415746,123.769874392746 10.40976293696,123.765395562862 10.4051130624228,123.760419085214 10.4011973248539,123.75793084639 10.3997289106003,123.753203192623 10.3970367998639,123.746982595563 10.39263147769,123.740761998502 10.390428793306,123.733794929794 10.3914077660604,123.731555514852 10.3918972512874,123.729067276028 10.3921419936134,123.723841974497 10.3921419936134,123.714635490847 10.3911630231594)))",Pink area
"MULTIPOLYGON (((123.741757294032 10.4633538471432,123.74051317462 10.4584600834398,123.735287873088 10.4520980752804,123.729564923793 10.4501405080865,123.727076684968 10.4486723245957,123.72110491179 10.4425548187151,123.717372553554 10.438150139936,123.712396075905 10.4342348175398,123.708912541551 10.4325218484969,123.710405484846 10.4388842573986,123.713640195317 10.4445124336978,123.717870201318 10.4486723245957,123.72210020732 10.4528321597973,123.723841974497 10.4530768542507,123.741757294032 10.4633538471432)))",Pink area
"MULTIPOLYGON (((123.725086093909 10.4731411429406,123.720358440143 10.4689815799718,123.715630786377 10.4633538471432,123.713640195317 10.4613963509229,123.707170774374 10.4596835316005,123.705677831079 10.4596835316005,123.706921950491 10.4635985333024,123.71189842814 10.468247533655,123.712147252023 10.4684922159537,123.725086093909 10.4731411429406)))",Pink area
"MULTIPOLYGON (((123.830089772294 10.5206051383809,123.83481742606 10.5252532819917,123.83481742606 10.5252532819917,123.838798608179 10.5252532819917,123.842282142533 10.5252532819917,123.843775085828 10.5245193692364,123.845765676887 10.5225622600173,123.848502739594 10.5198712145663,123.85223509783 10.5179140758596,123.856465103832 10.5176694326484,123.86243687701 10.5181587188767,123.865920411364 10.5186480043293,123.870399241248 10.5223176204918,123.87164336066 10.5242747312631,123.877117486073 10.5279442804837,123.881098668192 10.5257425561916,123.883089259252 10.5206051383809,123.887816913018 10.5166908578646,123.88906103243 10.5193819310534,123.894535157844 10.5245193692364,123.898018692198 10.5247640070155,123.907971647495 10.5250086446006,123.917924602792 10.5259871930004,123.92588696703 10.5259871930004,123.928872853619 10.5259871930004,123.929868149149 10.5242747312631,123.927379910324 10.5220729807723,123.924642847618 10.5193819310534,123.924642847618 10.5162015693092,123.924145199853 10.5142444073315,123.922901080441 10.510085396933,123.918671074439 10.5088621479204,123.914441068438 10.5076388940633,123.90846929526 10.5059263305256,123.904239289258 10.5025011749736,123.89826751608 10.5017672081306,123.890802799607 10.5017672081306,123.885826321959 10.5000546120526,123.877366309956 10.4983420064869,123.871892184542 10.4990759814624,123.868906297953 10.5027458302005,123.869652769601 10.5054370249141,123.865173939717 10.5025011749736,123.859948638186 10.5005439261859,123.854474512772 10.5020118639386,123.855469808302 10.5051923718177,123.852483921713 10.509840747518,123.847507444064 10.509840747518,123.843028614181 10.509840747518,123.838798608179 10.5117979374107,123.837305664885 10.5152229898715,123.837305664885 10.5196265729068,123.833573306648 10.5206051383809,123.830089772294 10.5206051383809)))",Pink area
"MULTIPOLYGON (((123.790277951105 10.3196899131203,123.787167652575 10.3192003151568,123.780573819691 10.3204243086372,123.77845881669 10.3205467077234,123.777961168925 10.3228722813129,123.781693527162 10.3249530431092,123.783684118221 10.3250754404333,123.784430589868 10.3242186581647,123.784928237633 10.3239738628021,123.790277951105 10.3196899131203)))",Pink area
"MULTIPOLYGON (((123.791522070518 10.3315624304278,123.790402363047 10.3344998912943,123.790526774988 10.3344998912943,123.791148834694 10.3343774976398,123.793263837695 10.3340103163901,123.794756780989 10.3338879225449,123.797369431755 10.333765528652,123.80197267358 10.333765528652,123.804834148228 10.333765528652,123.808317682582 10.3336431347114,123.811054745288 10.3343774976398,123.815409163231 10.338783639163,123.820012405056 10.3398851648864,123.822127408056 10.3378045019433,123.820136816997 10.3359686114299,123.820136816997 10.3346222849012,123.820510052821 10.3322967982186,123.81839504982 10.3287473380016,123.815782399054 10.3287473380016,123.813916219936 10.3276457732335,123.812174452759 10.3253202349385,123.810681509465 10.3233618735622,123.808566506464 10.3215258986985,123.80508297211 10.3203019095034,123.798613551167 10.3206691067619,123.798489139226 10.3220154930432,123.799235610873 10.3234842715054,123.799608846697 10.326544204606,123.799360022814 10.3288697338487,123.798489139226 10.3303384802968,123.795130016813 10.3310728509473,123.791522070518 10.3315624304278)))",Pink area
"MULTIPOLYGON (((123.800852966109 10.3401299478558,123.80607826764 10.3442912291385,123.80607826764 10.3442912291385,123.80819327064 10.3457599034804,123.809561801994 10.3460046818693,123.812050040818 10.3455151249007,123.813169748289 10.3449031776161,123.814911515466 10.3442912291385,123.816031222937 10.3418434232987,123.815409163231 10.340986686746,123.814413867701 10.3406195132221,123.812547688583 10.3401299478558,123.811054745288 10.3397627733301,123.808690918405 10.3389060311008,123.806824739287 10.3384164630633,123.80508297211 10.3385388551442,123.803341204933 10.3391508148334,123.800852966109 10.3401299478558)))",Pink area
"MULTIPOLYGON (((123.850368918712 10.3557956608302,123.846263324652 10.3511449839279,123.845641264946 10.3506554349793,123.844397145534 10.3480852904659,123.844272733593 10.3461270709921,123.842406554474 10.3441688392998,123.839669491768 10.3440464494134,123.838052136532 10.3425777670546,123.835688309649 10.3397627733301,123.831085067824 10.3373149321889,123.833075658883 10.340986686746,123.834195366354 10.3433121090929,123.835190661884 10.3462494600672,123.835937133531 10.3472285709497,123.840291551474 10.3501658852667,123.843526261945 10.3522464662689,123.844894793299 10.353103172082,123.847756267947 10.353959875555,123.850368918712 10.3557956608302)))",Pink area
