WKT,Drawings,Liquefactn,layer,path
"MULTIPOLYGON (((123.870185716488 10.2583354191417,123.846461993348 10.2584410503217,123.84957506109 10.2611874486302,123.850433838399 10.2636169349609,123.850326491235 10.2690039902792,123.854298336286 10.269320873029,123.855479155085 10.2718559235954,123.855264460757 10.2738628242118,123.857196709701 10.2756584613314,123.857626098355 10.279038456467,123.85869956999 10.2826296616776,123.861490596242 10.2859039602513,123.865355094129 10.2880163929237,123.869971022161 10.2889669830143,123.874479603029 10.2893894665801,123.87480164452 10.2921355959713,123.874908991683 10.2942479869321,123.877163282118 10.2964659822173,123.885214319382 10.2977334010915,123.890903719049 10.2982614907858,123.897666590352 10.3025917929152,123.899813533622 10.3044928823765,123.900242922277 10.3075557246074,123.905395586126 10.309139941664,123.909152736849 10.3122027387131,123.910870291466 10.3144206076356,123.912909887573 10.3152655059727,123.914842136517 10.3157935662819,123.917633162768 10.3165328492265,123.918491940077 10.3189619095329,123.923537256762 10.3214965611666,123.927509101813 10.3257209351751,123.930944211046 10.3287835708488,123.936955652204 10.3302620739446,123.942967093361 10.3302620739446,123.946616896921 10.3280443166934,123.950481394809 10.3304732881049,123.951876907934 10.332057389783,123.951662213607 10.3335358774788,123.950910783463 10.3360704116297,123.948549145865 10.3397665706115,123.946831591248 10.3417730386991,123.946724244085 10.3459971401265,123.947905062884 10.3478979672222,123.9496226175 10.3487427755688,123.953165073897 10.3487427755688,123.955634058658 10.3513827869903,123.957136918947 10.3530723826399,123.956385488803 10.3546563702947,123.95295037957 10.3561347515536,123.951018130626 10.3575075279095,123.950910783463 10.3590914931579,123.952091602261 10.3598306742013,123.952843032406 10.3607810472668,123.952843032406 10.3620482068709,123.951876907934 10.3635265532659,123.954238545532 10.3639489366689,123.957029571784 10.3641601281569,123.957566307601 10.3652160834612,123.956278141639 10.3676447671521,123.957781001929 10.3676447671521,123.961001416834 10.3645825107058,123.963148360105 10.3610978376482,123.964973261885 10.3622593996401,123.966690816501 10.3640545324307,123.96754959381 10.365110488091,123.967120205156 10.3692286811515,123.965402650539 10.3715517405242,123.961645499816 10.3720797061595,123.956707530293 10.3718685200122,123.955956100149 10.3729244493237,123.956814877457 10.374508336612,123.959391209381 10.3761978075508,123.964865914721 10.3790487690751,123.967764288137 10.3803158547463,123.969911231407 10.3797879030071,123.971306744533 10.3788375876309,123.97334634064 10.3794711315358,123.977425532854 10.3816885250978,123.978391657326 10.3826388318118,123.978069615836 10.3739803750732,123.971843480351 10.3679615505928,123.970662661552 10.3596194797953,123.967012857992 10.3620482068709,123.964114484577 10.3587747007485,123.962611624287 10.3567683413879,123.963148360105 10.3550787656514,123.965509997703 10.3536003794138,123.965993059939 10.3519635865214,123.964382852486 10.3498515830718,123.963792443086 10.3482675711537,123.965509997703 10.3471587580531,123.965617344866 10.3462083437057,123.964543873231 10.3447827167881,123.964436526067 10.3431986792854,123.967066531574 10.3426706650082,123.967978982464 10.3428818708256,123.968515718282 10.3438322952456,123.968676739027 10.3447299156667,123.970018578571 10.3448355179005,123.971789806769 10.3452579264801,123.972272869005 10.3464195471428,123.973990423622 10.3450995233294,123.973775729294 10.3425122605519,123.972541236914 10.3393441546436,123.97119939737 10.3390273422948,123.969267148426 10.3392385505628,123.968837759772 10.33876333176,123.968569391863 10.3359120038443,123.965509997703 10.338076903331,123.962665297869 10.3383937166385,123.960142639526 10.3376544850906,123.959927945199 10.3359120038443,123.961377131907 10.3341695129333,123.963846116668 10.3311597331457,123.96513428263 10.3292060010143,123.963685095923 10.3261961737005,123.949676291082 10.3180114099066,123.945865466777 10.3182754378686,123.94141055949 10.3218661961572,123.939854025619 10.3204404588006,123.93958565771 10.3195955743555,123.936794631458 10.318117021118,123.935184424005 10.3168496842427,123.933466869389 10.3157935662819,123.932071356263 10.3146318324325,123.931480946864 10.3128892236204,123.930890537464 10.3107769575853,123.93013910732 10.3105129233348,123.92557685287 10.3098264332475,123.922463785127 10.3076613393257,123.919243370221 10.3054962305242,123.917955204259 10.3038591871635,123.914734789353 10.3003210321425,123.911246006538 10.2970468831669,123.910601923557 10.2946176538961,123.909260084013 10.2918187361074,123.899491492132 10.2908153444391,123.894231481119 10.2887029304986,123.889508205924 10.2875410968049,123.888005345634 10.2906041036813,123.886073096691 10.287435475348,123.886609832508 10.2865905024203,123.887146568326 10.2852174165894,123.883711459093 10.28215435745,123.882423293131 10.2796193894897,123.881457168659 10.275183146616,123.881671862986 10.2733875067962,123.883174723275 10.2706412144017,123.874264908702 10.2592332830484,123.871688576778 10.2583354191417,123.871688576778 10.2583354191417,123.870185716488 10.2583354191417)))",Red,High,high (red),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Red.shp
"MULTIPOLYGON (((123.977989105463 10.3487163753424,123.976754613082 10.348769175793,123.975949509356 10.3492443794484,123.975305426375 10.3505115856772,123.973909913249 10.3515147869782,123.974178281158 10.3498251829387,123.974446649067 10.3490331779126,123.974124607576 10.3489803775065,123.97181664356 10.3491387786983,123.970367456852 10.3494027805069,123.968864596563 10.3499835837039,123.968649902236 10.3507755863306,123.968864596563 10.3522011860196,123.969401332381 10.3532043819167,123.970367456852 10.353837977672,123.97058215118 10.3551051653423,123.970635824761 10.3564251470533,123.971548275651 10.357745123207,123.972621747287 10.3588011001282,123.973426851013 10.3599626706327,123.973802566085 10.360332260345,123.975627467865 10.3607546480539,123.975627467865 10.3612298335459,123.975251752793 10.3624441931964,123.975251752793 10.3632361643459,123.974715016975 10.3643449205921,123.974661343394 10.3654008752735,123.975412773538 10.3664568263953,123.97605685652 10.3669848006213,123.976861960246 10.3673015847296,123.9778817583 10.3673543820499,123.9778817583 10.3673543820499,123.977989105463 10.3487163753424)))",Red,High,high (red),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Red.shp
"MULTIPOLYGON (((123.718128459348 10.4893583159087,123.718088204162 10.4981454997537,123.718007693789 10.4981454997537,123.720181473851 10.4980663370498,123.720946322391 10.4962060076717,123.722194233167 10.4952956296424,123.722153977981 10.4929998818438,123.720745046459 10.4910207752395,123.719014073447 10.4894770633,123.718128459348 10.4893583159087)))",Red,High,high (red).,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_little red_2.shp
"MULTIPOLYGON (((123.811359470874 10.2574375526886,123.798316790505 10.2570414343263,123.796867603797 10.2598934754728,123.796787093425 10.261874044484,123.796787093425 10.2633000464973,123.795257396344 10.2650429291198,123.793888720009 10.2666273595359,123.793888720009 10.2687663280086,123.794935354854 10.2687663280086,123.796465051934 10.2662312526758,123.800490570566 10.2667065808483,123.799846487585 10.2644883765995,123.800329549821 10.2613194864101,123.80242281951 10.2593389139289,123.805240682553 10.2589427979455,123.809668753048 10.259180467595,123.811923043482 10.2598934754728,123.811923043482 10.2598934754728,123.811359470874 10.2574375526886)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
"MULTIPOLYGON (((123.830359918819 10.258625904802,123.828105628384 10.2588635746894,123.828105628384 10.2588635746894,123.830037877328 10.2609233729053,123.8310040018 10.2649637073907,123.828991242484 10.2682910029314,123.827944607639 10.2701922989536,123.823919089007 10.2730442215516,123.824080109752 10.275341584934,123.825368275714 10.2772428385529,123.825287765342 10.2793817352005,123.823677557889 10.2809660937516,123.819974080747 10.2823127922721,123.818202852549 10.2845308714347,123.818524894039 10.2868281512848,123.818927445903 10.2865112860924,123.819088466648 10.2859567712404,123.820940205219 10.2847685218495,123.823275006026 10.283580267987,123.825448786087 10.2816790525071,123.827461545403 10.2798570436002,123.827381035031 10.2791440807324,123.82705899354 10.2775597130439,123.826495420932 10.275896118421,123.825931848323 10.2739948567005,123.827461545403 10.2724104631975,123.829071752856 10.2704299601526,123.831889615899 10.2691624316938,123.83253369888 10.2680533401249,123.834465947824 10.2656767022385,123.835915134531 10.2667065808483,123.837042279748 10.2685286655593,123.839860142791 10.2688455487853,123.841711881362 10.2703507397728,123.84501280664 10.2730442215516,123.846945055584 10.2749454889904,123.850890063844 10.2762129942625,123.850890063844 10.274232515041,123.846945055584 10.2697169760197,123.844449234032 10.2678948981547,123.84227545397 10.2663896954794,123.839940653164 10.2642507109361,123.837364321239 10.2628247132069,123.834224416706 10.2612402637488,123.830359918819 10.258625904802)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
"MULTIPOLYGON (((123.817558769568 10.2904720781359,123.816431624351 10.2913434457149,123.813533250935 10.292294025784,123.811037429383 10.2933238176272,123.80942722193 10.2949081062067,123.809668753048 10.2967300282362,123.810715387893 10.2986311530455,123.812003553855 10.3006906919876,123.812969678327 10.302829429725,123.813694271681 10.3056018459329,123.813855292426 10.3090079238802,123.815546010251 10.3117802857186,123.815143458388 10.3111466051643,123.815465499879 10.3053642112136,123.815707030997 10.3030670663556,123.817236728077 10.3004530535655,123.817880811058 10.299106432457,123.818363873294 10.2989480060661,123.818363873294 10.2989480060661,123.817558769568 10.2904720781359)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
"MULTIPOLYGON (((123.858458038873 10.2873034484771,123.859826715208 10.2918979511032,123.859826715208 10.2919771660792,123.859826715208 10.2928485295018,123.860631818934 10.296413172987,123.861597943406 10.2978390191012,123.863449681977 10.297205310513,123.866750607255 10.2971260968499,123.8677972421 10.2993440718941,123.868602345826 10.3009283302305,123.870776125888 10.3040968230177,123.873110926694 10.3045720941885,123.877377976445 10.3051265763152,123.881000943214 10.3062355376414,123.883496764766 10.3082950268919,123.886475648554 10.3111466051642,123.888810449361 10.3143942045261,123.889937594578 10.3139981576168,123.891386781285 10.3128892236204,123.89243341613 10.3130476430019,123.894285154701 10.3142357858222,123.89670046588 10.3164536404227,123.900323432649 10.3178793958426,123.904348951282 10.3200972247684,123.907166814324 10.3218397936723,123.911111822584 10.3242160084404,123.913768664881 10.3269882363133,123.916747548669 10.3330078469574,123.917230610905 10.3372056650877,123.917874693886 10.3398193725675,123.919001839103 10.3431458778976,123.919887453203 10.3443339069739,123.922946847363 10.3440170996598,123.922785826618 10.3421954513995,123.925120627425 10.3406906035602,123.928743594194 10.3417202370716,123.929146146057 10.3442547051753,123.931641967609 10.3449675206427,123.93228605059 10.3473435605087,123.927535938604 10.3499571835819,123.923993482208 10.3532835814561,123.925362158543 10.3557387572571,123.923993482208 10.3632625633498,123.917955204259 10.3638961387747,123.915781424197 10.3649256961074,123.91739163165 10.367935151985,123.913366113018 10.3732412274226,123.914090706372 10.3754586651374,123.916344996806 10.3787847922476,123.917955204259 10.3802102644698,123.914251727117 10.3825860370701,123.914493258235 10.3883670083277,123.916425507179 10.3897132465604,123.916344996806 10.3912178588984,123.91191692631 10.3950981414879,123.907005793579 10.3977113658637,123.907569366187 10.3987408118862,123.908938042522 10.4002453807363,123.910306718857 10.4004829435761,123.911353353702 10.4000870054093,123.911997436683 10.4000078177157,123.9131245819 10.4002453807363,123.913688154509 10.401274818403,123.914251727117 10.4023042526747,123.917150100533 10.4023834397857,123.918679797613 10.3997702545143,123.918840818358 10.3979489306317,123.920290005066 10.3965235393128,123.921256129538 10.3948605745513,123.922061233264 10.3924057056262,123.922383274755 10.3894756755289,123.92133663991 10.3854369403653,123.920209494693 10.3828236133375,123.920209494693 10.380131071739,123.922061233264 10.3774385069625,123.924959606679 10.3742707540297,123.927616448977 10.3737955883242,123.931883498727 10.3733204218972,123.934057278788 10.3726076709043,123.938163307793 10.3701526272846,123.940015046364 10.3691230871341,123.940417598228 10.3730036438785,123.941625253817 10.3754586651374,123.943154950898 10.3756170529444,123.94323546127 10.3741915597956,123.94291341978 10.3716573337225,123.943960054624 10.3694398690794,123.948227104374 10.3701526272846,123.952896705988 10.3716573337225,123.952413643752 10.3707069936557,123.949595780709 10.3688063048683,123.947422000648 10.3681727393754,123.94444311686 10.3669848006213,123.942349847171 10.3654008752735,123.94170576419 10.3646089095962,123.940900660463 10.3626289866437,123.941383722699 10.3617578165809,123.946375365804 10.3577979221375,123.946938938412 10.3545507713666,123.944604137605 10.3521747860843,123.940256577482 10.3514619869897,123.937358204067 10.3512243869315,123.936070038105 10.349719582384,123.934942892888 10.3471851584106,123.935989527732 10.3458387373489,123.939290453011 10.3412450220244,123.938404838911 10.3383937166385,123.933574216553 10.3345919358597,123.933332685435 10.332849437628,123.929065635684 10.3317405700861,123.922061233264 10.3299980560447,123.915459382707 10.3230279033001,123.915137341216 10.3213645485648,123.913768664881 10.3195427690024,123.911433864075 10.3186714793962,123.909743146249 10.3187506876419,123.906522731343 10.3177209788927,123.903624357928 10.3158199692741,123.901772619357 10.3158199692741,123.899679349668 10.3146318324325,123.899115777059 10.3079781832681,123.896136893272 10.3052849996007,123.891628312403 10.3054434228066,123.8857510552 10.301403606179,123.879793287624 10.3038591871636,123.877941549053 10.304255246821,123.872547354086 10.3023541559263,123.869568470298 10.2987103663305,123.868360814708 10.2959378895165,123.867153159118 10.294670463427,123.867153159118 10.2924524555171,123.865542951666 10.2901552166016,123.861758964151 10.289046198726,123.860148756698 10.289046198726,123.858458038873 10.2873034484771)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
"MULTIPOLYGON (((123.955150996422 10.381873307185,123.955634058658 10.3884461989725,123.955634058658 10.3884461989725,123.956036610521 10.389396485145,123.957083245366 10.3911386689559,123.957888349092 10.3935143584974,123.954989975677 10.3944646292554,123.952333133379 10.3965235393128,123.951205988162 10.4001661930828,123.948951697728 10.4011956310107,123.947019448785 10.4018291295866,123.945167710214 10.4027001880289,123.943638013133 10.4046798572654,123.945328730959 10.405788466552,123.946616896921 10.4053925351161,123.949354249591 10.4037296175992,123.951850071143 10.4027793750395,123.951850071143 10.4080848589714,123.949193228846 10.4096685680318,123.947341490275 10.4114898235094,123.947019448785 10.41529067024,123.949193228846 10.4160825074761,123.949998332573 10.4148947508677,123.950239863691 10.412756777568,123.952172112634 10.4114898235094,123.953460278596 10.4098269384955,123.954345892696 10.4082432302393,123.954989975677 10.4064219558043,123.954989975677 10.4047590437737,123.954587423814 10.403175309791,123.953782320087 10.4005621311492,123.954748444559 10.3990575638256,123.955956100149 10.3981864952189,123.95812988021 10.3986616238511,123.958210390583 10.4007996937479,123.957324776484 10.4041255511451,123.95812988021 10.4065803279164,123.959740087663 10.4046798572654,123.960947743253 10.4023042526747,123.962477440333 10.4000870054093,123.963121523314 10.4027001880289,123.964087647786 10.4022250655435,123.966180917475 10.4014331931273,123.968676739027 10.4023834397857,123.969159801263 10.4043631110315,123.970689498343 10.4065803279164,123.972460726541 10.4053133487686,123.972621747287 10.4080848589714,123.973507361386 10.4105396045872,123.975922672565 10.4108563445496,123.978337983745 10.4100644940404,123.977935431881 10.4068178859338,123.975037058466 10.4066595139423,123.974715016975 10.4041255511451,123.972380216169 10.4015123804593,123.972380216169 10.3985824357959,123.968998780517 10.3981073070432,123.965214793003 10.3977905541398,123.964248668531 10.3956524636373,123.963524075177 10.3935935478377,123.960947743253 10.3922473263234,123.960303660271 10.3897132465604,123.959257025427 10.3880502455478,123.957968859465 10.3847242169785,123.955150996422 10.381873307185)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
"MULTIPOLYGON (((123.940095556737 10.2632208243318,123.941464233072 10.2623493792024,123.941464233072 10.2623493792024,123.940981170836 10.2613987090516,123.940578618973 10.2606857045645,123.939370963383 10.2606064817446,123.939209942638 10.2610818183667,123.940095556737 10.2632208243318)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
"MULTIPOLYGON (((123.964248668531 10.2571206580384,123.964570710022 10.2588635746894,123.965375813748 10.2593389139289,123.966583469338 10.2598142524546,123.967952145673 10.2608441501449,123.968515718282 10.2614779316732,123.968435207909 10.2629831577163,123.967469083437 10.2641714890086,123.965375813748 10.2656767022385,123.963363054432 10.2671026871132,123.960464681017 10.2686078863956,123.959015494309 10.2701922989536,123.957646817974 10.2716974835305,123.957083245366 10.2728065623177,123.957566307601 10.275341584934,123.958290900955 10.2735987590692,123.95965957729 10.2718559235954,123.960786722507 10.2707468414734,123.963282544059 10.2698754170771,123.966583469338 10.268687107212,123.968032656046 10.2675780139762,123.969159801263 10.2666273595359,123.969884394617 10.2655182590779,123.970367456852 10.2643299328437,123.970770008716 10.2628247132069,123.971092050206 10.2613194864101,123.971011539834 10.2597350294165,123.970528477598 10.2583882347361,123.970045415362 10.2570414343263,123.970045415362 10.2570414343263,123.964248668531 10.2571206580384)))",Yellow,Low,low (yellow),C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Quake liquefaction\Polygon_Yellow.shp
