WKT,id,Landuse
"MULTIPOLYGON (((123.884821810188 10.2886687287029,123.886476335262 10.2873387726328,123.886203043174 10.2866919613713,123.885870660905 10.2863140485603,123.886476335262 10.2856454324786,123.883292851748 10.2820334276415,123.881830369762 10.2835087585521,123.880559930865 10.2847369844468,123.880397432867 10.2850422232771,123.880338342686 10.2852384480836,123.880338342686 10.2852384480836,123.880146299597 10.2859870082625,123.880308797595 10.2859797406965,123.883122967477 10.2868445798784,123.884821810188 10.2886687287029)))","1",Ayala-SM Consortium
"MULTIPOLYGON (((123.880005196545 10.2851771744549,123.880104475503 10.2852702065083,123.880156478767 10.2851957808678,123.880189571753 10.2850283231123,123.880255757725 10.284870168484,123.880364491822 10.2846701492818,123.883026113411 10.2819954617288,123.883068661536 10.2819303386189,123.883068661536 10.2818419572341,123.883040296119 10.281781485746,123.882733004106 10.2814512181836,123.882274429872 10.2809255803651,123.881867858901 10.2803859866505,123.881867858901 10.2803859866505,123.881636207998 10.2800231558758,123.881451832791 10.2796510213151,123.881253274875 10.279278886316,123.881021623973 10.2786369524123,123.880591415154 10.2774182047456,123.88020848203 10.2763576113478,123.880147023628 10.2763064422781,123.880085565225 10.2762971388099,123.880038289531 10.2762971388099,123.879981558698 10.2763203974797,123.878341092105 10.2777484765242,123.878341092105 10.2779671069483,123.879026589673 10.2787392897886,123.879154234047 10.2789672229169,123.879258240575 10.2793067964561,123.879201509742 10.2795998527787,123.879140051339 10.2798231336039,123.878993496687 10.2800278075551,123.878846942034 10.2801999196386,123.878402550508 10.2805999635786,123.878043255231 10.2809116253669,123.878043255231 10.2809116253669,123.877523222594 10.2814047015978,123.877423943636 10.281558206305,123.877357757664 10.2817117109376,123.8773057544 10.2818884737555,123.877301026831 10.2820512815266,123.877319937108 10.2822233925076,123.877362485233 10.282348986948,123.880005196545 10.2851120520012,123.880005196545 10.2851120520012,123.880005196545 10.2851771744549)))","2",SM Seaside
"MULTIPOLYGON (((123.879969316059 10.2858452274478,123.87980470217 10.2853755187116,123.879524858558 10.2850407833237,123.878191486055 10.2836640453362,123.87718734133 10.2826382366589,123.87718734133 10.2826382366589,123.876644115495 10.2831619393999,123.877527543368 10.2836910402564,123.877703131516 10.2838908025941,123.8787182505 10.284949000978,123.8787182505 10.284949000978,123.879448038743 10.2857048547952,123.879969316059 10.2858452274478)))","3",Province of Cebu
"MULTIPOLYGON (((123.875869244623 10.2825555751047,123.878733279112 10.2798962900629,123.878269386202 10.2793406157339,123.875385182456 10.2820197508153,123.875869244623 10.2825555751047)))","4",Available lot
"MULTIPOLYGON (((123.876638872851 10.2831705904105,123.877206775811 10.2826271882101,123.877076522839 10.2824887742927,123.877034841887 10.28233498098,123.876982740698 10.2822529578492,123.876982740698 10.2822529578492,123.876982740698 10.2818633476873,123.87612307108 10.2826528204104,123.876591981781 10.2831603375475,123.876638872851 10.2831705904105)))","5",Available lot
"MULTIPOLYGON (((123.875380353409 10.2819960741128,123.878254625876 10.2793314783095,123.876270009173 10.2772247964051,123.872427869447 10.273174925532,123.869094104443 10.2697118118982,123.867314792917 10.2718377833745,123.86788182626 10.274184993196,123.871567542995 10.2779558839543,123.875380353409 10.2819960741128)))","6",Pond A
"MULTIPOLYGON (((123.878730150735 10.2798987154277,123.878842923971 10.2797565440946,123.878923979734 10.2795519559666,123.878952173043 10.2794340576631,123.87887111728 10.2790179456522,123.87887111728 10.2790179456522,123.878670239954 10.2787613429722,123.872608101204 10.2715075301875,123.871679981086 10.2723869509508,123.878730150735 10.2798987154277)))","7",Available lot
"MULTIPOLYGON (((123.871667634788 10.272357730891,123.872595099755 10.2715149179317,123.871307560154 10.2699903333678,123.870243703281 10.2708975694341,123.871667634788 10.272357730891)))","8",Big Foot
"MULTIPOLYGON (((123.869959760914 10.2705718198253,123.871083043841 10.2696721685522,123.870099082828 10.2685840154971,123.869106414195 10.269715009147,123.869959760914 10.2705718198253)))","9",Available lot
"MULTIPOLYGON (((123.871187535277 10.2695436467328,123.871779653409 10.2690466952064,123.870830522873 10.267881426496,123.872476262976 10.2665276530443,123.872032174377 10.2660049921235,123.871918975322 10.2659964239045,123.870917599069 10.2667932672797,123.87027323522 10.26847262954,123.871187535277 10.2695436467328)))","10",Available lot
