WKT,Drawings,layer,path
"MULTIPOLYGON (((123.859030253049 10.2664755685101,123.857446733939 10.267869714107,123.856988346828 10.2689768253505,123.857071689939 10.2698379091937,123.858696880605 10.2707399945146,123.859613654827 10.2715190661297,123.85986368416 10.2721751249482,123.859947027271 10.2728721859512,123.860113713493 10.2736922557516,123.860113713493 10.2745123234245,123.860113713493 10.2754143954072,123.860280399715 10.277136525679,123.86061377216 10.2776285611757,123.861363860159 10.2781205959063,123.86182224727 10.2794736874644,123.862488992158 10.2804987529685,123.863614124158 10.2810727881978,123.864197525935 10.2812778005269,123.865572687268 10.2816058199767,123.863572452602 10.2802527375508,123.862739021492 10.2788176437963,123.862822364603 10.2779975872955,123.862905707714 10.2769725136765,123.861280517048 10.2759064335853,123.860905473048 10.2716010735565,123.858113478828 10.2695508815065,123.858530194383 10.2684437722726,123.859071924605 10.2674186676746,123.859071924605 10.2674186676746,123.859030253049 10.2664755685101)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.864947613935 10.2587666525492,123.862488992158 10.2552811767846,123.855904886385 10.2554041942294,123.856446616606 10.2572084445968,123.856988346828 10.2586846417956,123.858196821939 10.2598327904135,123.859280282383 10.2604888734683,123.860947144604 10.2602018372991,123.861613889492 10.2599558060898,123.861655561048 10.2588896686399,123.861238845493 10.2580695604659,123.861572217937 10.2575774945417,123.862488992158 10.2578645330904,123.863114065491 10.2582745877085,123.864030839713 10.2588896686399,123.864030839713 10.2588896686399,123.864947613935 10.2587666525492)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.902452013913 10.2913232416004,123.902285327691 10.2918562560727,123.902952072579 10.2930452851124,123.903368788134 10.2939473041533,123.904577263245 10.2944803141925,123.905869081466 10.2954233297478,123.906410811688 10.2964893439372,123.907119228132 10.2969403488558,123.907119228132 10.2955053309672,123.907494272132 10.2950133233311,123.907619286798 10.29407030655,123.907035885021 10.2929632832535,123.90657749791 10.2918562560727,123.906369140133 10.2913232416004,123.905910753022 10.2905852200755,123.905910753022 10.2905852200755,123.902452013913 10.2913232416004)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.949082484552 10.3196537617802,123.949207499218 10.3216626309921,123.950332631218 10.3220726027246,123.95170779255 10.3222365912681,123.951749464106 10.3222365912681,123.953499669438 10.3219086140957,123.953457997882 10.3210476723915,123.952332865883 10.3206786966542,123.950624332106 10.3205967019871,123.950457645884 10.3196127643158,123.950457645884 10.3196127643158,123.949082484552 10.3196537617802)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.956416678325 10.3257213276049,123.958250226769 10.326336277068,123.958250226769 10.326336277068,123.958958643213 10.3256393342522,123.959792074323 10.3246554123535,123.959667059657 10.3236304904357,123.958833628546 10.3233435117003,123.957750168102 10.3241224533731,123.956416678325 10.3257213276049)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.964459288543 10.326336277068,123.964167587654 10.3254343507772,123.963334156543 10.324573418723,123.961917323655 10.3242454439872,123.960375476101 10.3249013931168,123.959583716546 10.3258033209361,123.959208672546 10.3262952804745,123.958958643213 10.3269512253286,123.959000314768 10.3276071688142,123.95916700099 10.3285500851774,123.959667059657 10.3295339948891,123.960625505434 10.3304359094195,123.961208907211 10.3310508496611,123.9622506961 10.3310918456344,123.96308412721 10.3305998936016,123.963209141877 10.329370010151,123.96308412721 10.3290010441775,123.9622506961 10.3283860999261,123.962000666766 10.3279351400439,123.960708848545 10.3274841795149,123.960083775212 10.3266232530726,123.9611255641 10.3258443175937,123.961583951211 10.3254343507772,123.962125681433 10.3257213276049,123.962125681433 10.3257213276049,123.964459288543 10.326336277068)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.964250930765 10.334166528393,123.963855050987 10.3348224568212,123.963250813432 10.3355603746662,123.962563232766 10.3357448538566,123.961646458544 10.3358678399234,123.961167235656 10.3361548072253,123.960917206323 10.3366877458048,123.961458936544 10.3378766055316,123.962084009877 10.3382455610837,123.96402173721 10.3382865561183,123.966063643431 10.3382660586016,123.968022206541 10.3383890436813,123.969564054095 10.3381225759478,123.969689068762 10.3377741178014,123.969105666984 10.3375076495462,123.967584655207 10.3377536202513,123.966917910319 10.3375691422406,123.966917910319 10.3365852576867,123.96718877543 10.3359703282756,123.967542983652 10.3355398769717,123.967313790097 10.3348634523025,123.96718877543 10.334514990541,123.966897074541 10.3343100128537,123.966105314986 10.3348839500412,123.965855285653 10.3355603746662,123.965751106764 10.3360113236071,123.965251048098 10.3374871519788,123.96485516832 10.3375076495462,123.96466764632 10.3368927219408,123.964438452765 10.336564760059,123.964188423432 10.3364417742651,123.963521678543 10.3361753048797,123.963667528988 10.3359088352683,123.963667528988 10.3359088352683,123.964250930765 10.334166528393)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.968272235874 10.3319732577675,123.967793012985 10.3318297722399,123.967334625874 10.3313583193307,123.966980417652 10.330927861709,123.966730388319 10.3308663677149,123.965751106764 10.331624792801,123.965021854542 10.3322192328054,123.96466764632 10.3326701865414,123.964876004098 10.3328546674287,123.965751106764 10.3331006417767,123.966063643431 10.3331006417767,123.966522030541 10.332526701332,123.966855402986 10.3323627181552,123.967417968985 10.3326906844231,123.967772177207 10.3328136716854,123.968063878096 10.3328341695577,123.968459757874 10.3327521780603,123.968647279873 10.3324037139574,123.968647279873 10.3324037139574,123.968272235874 10.3319732577675)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.940310622112 10.2904827169494,123.939518862557 10.2910567340266,123.939268833224 10.2912617398726,123.93856041678 10.2904417156896,123.937018569225 10.2910977352065,123.936935226114 10.2916307500597,123.93735194167 10.2920817619246,123.938727103002 10.2926147751155,123.939018803891 10.2931887883142,123.938977132335 10.2936397979518,123.938685431447 10.2940088053577,123.937810328781 10.2947468188744,123.937268598559 10.2955258312688,123.93697689767 10.2966738460273,123.93697689767 10.2974938540107,123.937310270114 10.2985188609914,123.93772698567 10.2989288628508,123.938893789224 10.2992158638352,123.939602205668 10.2994208643783,123.940560651446 10.3004868650542,123.941477425667 10.3023318577057,123.941519097223 10.3031108513607,123.941352411001 10.3038078440516,123.941310739445 10.3043818368749,123.94126906789 10.3055708186832,123.939060475447 10.3042178390321,123.938227044336 10.3046688328945,123.938727103002 10.3057348158219,123.939018803891 10.3057758150932,123.939602205668 10.3056938165452,123.939935578113 10.3056528172632,123.940477308335 10.3059398121252,123.941019038556 10.3063498043319,123.941727455 10.3070057907528,123.942519214556 10.3079077698515,123.943394317222 10.3083997573622,123.943727689666 10.308686749722,123.945227865665 10.3093427312768,123.945852938998 10.3093427312768,123.945686252776 10.3083997573622,123.943435988777 10.3074157815723,123.944102733666 10.3061858075132,123.943811032777 10.3056528172632,123.942852587 10.3050378273928,123.942727572333 10.3038488435736,123.943269302555 10.3023728574198,123.942852587 10.3013478629687,123.939102147002 10.2989288628508,123.938810446113 10.2978628569076,123.939643877224 10.2955668318678,123.940102264335 10.2949108216436,123.940643994557 10.2940908069448,123.941227396334 10.2930657855738,123.94126906789 10.2931067864926,123.940310622112 10.2904827169494)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.939060475447 10.2854395220364,123.938643759891 10.2802322362574,123.938643759891 10.2802322362574,123.937560299447 10.2797812074649,123.937060240781 10.2794121834284,123.936935226114 10.2789201507092,123.936851883003 10.2785921284708,123.937018569226 10.2778950800832,123.938227044336 10.277608059712,123.938227044336 10.2772390331373,123.938143701225 10.2760089414427,123.937768657225 10.2754759002214,123.937435284781 10.275311887357,123.936268481226 10.2753938937998,123.935893437226 10.2750248646396,123.935726751004 10.2739587779787,123.935435050115 10.2732207158763,123.934726633671 10.2730977053584,123.934476604338 10.2731797123757,123.934101560338 10.2734667367686,123.93380985945 10.2737947643271,123.933643173228 10.2746558350485,123.934101560338 10.2753528905811,123.933726516339 10.2757219193583,123.933726516339 10.2766239878885,123.934143231894 10.2773620420435,123.934476604338 10.278551125667,123.934809976782 10.2794531861204,123.934559947449 10.2796581995006,123.93426824656 10.2803552439981,123.934393261227 10.2808062719711,123.935268363893 10.2815443163558,123.935851765671 10.2819953426309,123.936893554559 10.2829793977226,123.937476956336 10.2832254110164,123.937893671892 10.283635432747,123.937893671892 10.2840044518493,123.937476956336 10.2842914664085,123.937060240781 10.2842914664085,123.936393495893 10.2843734705203,123.935893437226 10.2845374786801,123.935976780337 10.2850705046112,123.936726868337 10.2850705046112,123.93735194167 10.2850705046112,123.93818537278 10.285234512409,123.939060475447 10.2854395220364)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.941602440334 10.2753938937998,123.941769126556 10.277198030158,123.941769126556 10.277198030158,123.941185724779 10.2772390331373,123.940602323001 10.2772800361114,123.940268950557 10.2776490626381,123.940018921224 10.2781000944745,123.940685666112 10.2787971424097,123.940977367001 10.2789201507092,123.94126906789 10.2788791479481,123.941394082556 10.278551125667,123.941810798112 10.2777310684745,123.942227513667 10.2776490626381,123.942852587 10.2776490626381,123.943435988777 10.2785101228579,123.942810915444 10.2792071698885,123.942810915444 10.2795351914885,123.942894258555 10.2798632127478,123.944269419888 10.2800272232497,123.944602792332 10.2808062719711,123.941894141223 10.280437249132,123.942394199889 10.2808472744821,123.943894375888 10.2813393041997,123.944227748332 10.2818313331508,123.944227748332 10.2825693751403,123.945102850999 10.2839634497481,123.945436223443 10.2845374786801,123.946269654553 10.285562527749,123.94760314433 10.2867515804996,123.948186546108 10.2869975908544,123.948894962552 10.2868335839725,123.949395021218 10.2862185574066,123.949270006552 10.2848244927549,123.948519918552 10.2846604847441,123.947853173664 10.2844144725683,123.947519801219 10.2837174370292,123.947394786553 10.2823643636496,123.947394786553 10.2812983017525,123.946644698553 10.2806012593359,123.945602909665 10.2796581995006,123.944561120777 10.2792891753205,123.944186076777 10.2784691200435,123.944269419888 10.277690065559,123.944102733666 10.2770340181874,123.943602674999 10.2762959632664,123.943144287889 10.2762549601647,123.941977484334 10.2756399130006,123.941602440334 10.2753938937998)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.951603613661 10.2786741340623,123.951436927439 10.2799862206322,123.951395255884 10.2808882769879,123.952228686994 10.2820773473389,123.953062118105 10.2835944305979,123.953645519882 10.2846194827281,123.954270593215 10.2853985201216,123.954812323437 10.2862185574066,123.954979009659 10.2871615976511,123.954395607882 10.2876946191519,123.953603848327 10.2881866381999,123.952728745661 10.2888836638717,123.952562059439 10.2891296725648,123.952228686994 10.2904007144245,123.952062000772 10.2914667455854,123.952395373216 10.2925737741328,123.953020446549 10.2932707901144,123.953937220771 10.2948698209593,123.954728980326 10.2954438300547,123.955562411437 10.2960998391704,123.956395842547 10.2965508446459,123.957479302991 10.2969198486462,123.958312734102 10.2971658510732,123.958854464324 10.297206851459,123.960021267879 10.297206851459,123.961271414544 10.296878848223,123.961854816322 10.2966738460273,123.962979948321 10.2959768375651,123.962729918988 10.2954028294397,123.9620631741 10.2945828160199,123.961104728322 10.293885802937,123.960187954101 10.2930247846497,123.959854581656 10.2923687691393,123.960021267879 10.2909747316509,123.960771355878 10.2893346796626,123.961229742989 10.288473648957,123.961479772322 10.2878996271817,123.962104845655 10.2874486093403,123.962563232766 10.2873256043626,123.963188306099 10.2878996271817,123.963188306099 10.289908698828,123.963396663877 10.2904417156896,123.964146751876 10.2911797375502,123.964605138987 10.291671751165,123.965021854542 10.2919997598153,123.964896839876 10.2928607809,123.964396781209 10.2934757945218,123.964646810543 10.2947058181687,123.964896839876 10.2948698209593,123.965313555431 10.2951158249852,123.965313555431 10.2940498061539,123.965563584764 10.293147787406,123.965813614097 10.2926147751155,123.966230329653 10.2919997598153,123.966313672764 10.2914667455854,123.966313672764 10.2910977352065,123.966313672764 10.2910977352065,123.964938511431 10.2904007144245,123.963855050987 10.2901547067222,123.964396781209 10.2876946191519,123.964271766543 10.2867515804996,123.963813379432 10.286013548285,123.962479889655 10.2848654947442,123.960896370545 10.2839224476416,123.959812910101 10.2841274581209,123.958396077213 10.2835944305979,123.958021033213 10.2847834907602,123.956312499436 10.2856855334136,123.954979009659 10.2848244927549,123.953937220771 10.2837994412901,123.953353818994 10.2817083259849,123.952937103438 10.2807652694547,123.952353701661 10.2789611534651,123.952353701661 10.2789611534651,123.951603613661 10.2786741340623)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
