WKT,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DR_NETWK_,DR_NETWK_I,DR_LOCAT,DR_TYPE,SIZE,DIAMETER,WIDTH,HEIGHT,AREA,VOLUME,DR_CONDITN
"MULTILINESTRING ((123.88981793464 10.314259180359,123.889852632219 10.3141693908685,123.890211585242 10.3131488087505,123.890224859014 10.313111268029,123.890309917606 10.3128686560819,123.890418347337 10.3125606739921,123.890456856818 10.3124506676422,123.89049933768 10.3123458749708))","1","2","5","6",221.960800,"1","1",A. CLIMACO ST.,RCP,18.00,0.46,,,0.17,37.73,FUNCTIONING
"MULTILINESTRING ((123.893105119886 10.3049017341741,123.893095455225 10.3048466962701,123.893091647649 10.3047930914183,123.893092965523 10.3047409216187,123.8931014846 10.3046474338974,123.893122310124 10.3045068180561,123.893178693666 10.3042614103642,123.893251196226 10.3039962089796,123.893300965636 10.3037683953882,123.89334536098 10.303541584424))","3","4","9","10",144.386400,"2","2",ASUNCION ST.,CONCRETE-LINED CANAL,,0.00,,,0.00,0.00,FUNCTIONING
"MULTILINESTRING ((123.894999438 10.3021655893563,123.894969783581 10.3022358050909,123.894939532522 10.3023019650877,123.894930225996 10.302322857043,123.894910958052 10.3023397189044,123.894892254367 10.3023490441047,123.894870024321 10.3023531623411,123.894854219621 10.3023526259898,123.894831960446 10.3023463110671,123.894746385684 10.3022869751554,123.894662486984 10.3022314297921,123.894523483154 10.3021286371376,123.894428488423 10.3020657180626,123.894356975221 10.30202765855,123.894138309158 10.3019078408029,123.894119562177 10.3018967333746,123.8940949279 10.3018782527826,123.894074966312 10.3018562816605,123.894052028119 10.3018163503233,123.894040246167 10.3017891402049,123.894035491031 10.3017630701144))","5","6","13","12",118.276600,"3","3",R.R. LANDON EXT.,RCP,18.00,0.46,,,0.17,20.11,FUNCTIONING
"MULTILINESTRING ((123.894035491031 10.3017630701144,123.894010352299 10.3017735721137))","6","7","11","12",10.119600,"4","4",ASUNCION ST.,RCP,24.00,0.61,,,0.29,2.93,FUNCTIONING
"MULTILINESTRING ((123.895183896427 10.3017778952223,123.895115214851 10.3019154542619,123.895039569519 10.3020744784567,123.894999438 10.3021655893563))","8","5","13","12",63.204160,"5","5",R.R. LANDON EXT.,RCP,18.00,0.46,,,0.17,10.74,FUNCTIONING
"MULTILINESTRING ((123.894163213009 10.3014265989397,123.8940896985 10.301601522804,123.894055627876 10.301681993599,123.894042036249 10.301727313931,123.894035491031 10.3017630701144))","9","6","11","13",42.209480,"6","6",ASUNCION ST.,RCP,18.00,0.46,,,0.17,7.18,FUNCTIONING
"MULTILINESTRING ((123.893449738915 10.3009222816933,123.894163213009 10.3014265989397))","10","9","11","16",126.996300,"7","7",SAMBAG 2ND ST.,RCP,18.00,0.46,,,0.17,21.59,FUNCTIONING
"MULTILINESTRING ((123.905829687974 10.3002159480999,123.905636024889 10.2998790877397))","11","12","24","23",28.449860,"8","8",ABOITIZ-BONIFACIO ST.,RCP,18.00,0.46,,,0.17,4.84,FUNCTIONING
"MULTILINESTRING ((123.901685638452 10.2996123561931,123.901688739109 10.2996226898058,123.901698600639 10.2996342214944,123.902180721573 10.2997728496601,123.902231803925 10.2997873834853,123.902489971153 10.299856787173))","13","14","21","25",99.506440,"9","9",SIMOUN ST.,RCP,18.00,0.46,,,0.17,16.92,FUNCTIONING
"MULTILINESTRING ((123.893449738915 10.3009222816933,123.893495103957 10.3007925346405,123.893557485371 10.3006157597872,123.893591565501 10.3005386852499,123.89364276456 10.3004513752002,123.893759938407 10.3002461485506,123.89379633317 10.3001792563804,123.893852393238 10.3000413432508,123.893875594115 10.2999542488833,123.893902046165 10.2998299753907,123.8939169286 10.2996945913481,123.893939981024 10.2994311548867,123.893944515734 10.2993383492221,123.893949999913 10.2993126584537,123.893960707128 10.2992867358224,123.893978813052 10.2992544443708,123.894018948459 10.2992172024271,123.894065525913 10.2991944334737))","10","15","16","17",205.739600,"10","10",J. URGELLO ST.,RCP,18.00,0.46,,,0.17,34.98,FUNCTIONING
"MULTILINESTRING ((123.899983362381 10.2989049088588,123.899995283455 10.2989074791516,123.900046851219 10.2989277978186,123.900093036814 10.2989464495995,123.900146148821 10.2989623376383,123.900257937839 10.2990013571556,123.900355106016 10.2990255654203,123.900466765207 10.299057840301,123.900508680279 10.2990649403291,123.900561304027 10.2990746039166,123.900665432404 10.2991008114065,123.900720800784 10.2991148643409,123.900877221735 10.2991509403142,123.901128945226 10.2992087525695,123.901240444064 10.2992145616723,123.90141177646 10.2992195008092,123.901556163949 10.2992276197173,123.901616111022 10.2992288376543,123.901628160846 10.2992335723518,123.901634434531 10.2992387997734))","16","17","15","27",195.638200,"11","11",SANCIANGKO ST.,RCP,18.00,0.46,,,0.17,33.26,FUNCTIONING
"MULTILINESTRING ((123.899768818927 10.3010095219092,123.899775012448 10.3009977329878,123.899819507839 10.3009182905043,123.899933572937 10.3007184152208,123.899960894202 10.3006712525119,123.8998895309 10.3006568742914,123.899754024512 10.3005787681769,123.899654802836 10.30052102277,123.899600939947 10.3004897793535,123.899362550091 10.3003601038955,123.899325413257 10.3003386243028,123.899214019291 10.3002800713879,123.899208916978 10.3002772825967,123.899204934973 10.3002702864829,123.899204910601 10.3002615977858,123.899209690579 10.300250373328,123.899246584453 10.3001852462458,123.899415014385 10.2998928684188,123.899562573356 10.299626614249,123.899607067067 10.2995466112388,123.899636632042 10.2994921550337,123.899725333988 10.2993313089308,123.899817724601 10.2991738160487,123.899925885005 10.2989879711849,123.899961943855 10.2989237475373,123.899967852966 10.2989156828634,123.899973782304 10.2989106214523,123.899983362381 10.2989049088588))","18","16","15","18",245.592700,"12","12",JUNQUERA ST.,RCP,36.00,0.91,,,0.65,159.64,FUNCTIONING
"MULTILINESTRING ((123.900059956049 10.2987599689192,123.900055899425 10.2987748620259,123.900054793895 10.298786590233,123.900055279657 10.2987974121235,123.900056910193 10.2988104857014,123.900063098941 10.2988251251171,123.900068362375 10.2988345809504,123.900074989411 10.2988431310936,123.900083665016 10.2988514501125,123.900092335873 10.2988580780149,123.900107613195 10.2988659278891,123.900225205838 10.2989030344274,123.90028582938 10.2989236120028,123.900383696937 10.2989491015283,123.900486350605 10.2989781905419,123.900582486392 10.2989960771737,123.900723298665 10.2990314284266,123.900897683279 10.2990726234685,123.901145822697 10.2991268726234,123.901190864277 10.2991312723596,123.901430334416 10.299140098102,123.901549998686 10.2991468337628,123.901646217511 10.2991486533618))","19","20","27","28",193.681000,"13","13",SANCIANGKO ST.,RCP,18.00,0.46,,,0.17,32.93,FUNCTIONING
"MULTILINESTRING ((123.899983362381 10.2989049088588,123.900059956049 10.2987599689192))","16","19","27","18",13.304720,"14","14",JUNQUERA ST.,RCP,36.00,0.91,,,0.65,8.65,FUNCTIONING
"MULTILINESTRING ((123.900059956049 10.2987599689192,123.900263088755 10.2983752166343))","19","21","28","18",45.811990,"15","15",JUNQUERA ST.,RCP,36.00,0.91,,,0.65,29.78,FUNCTIONING
"MULTILINESTRING ((123.900705699777 10.297514277359,123.901332277054 10.2976435370047,123.901426155153 10.2976536049148,123.901549546381 10.2976592091263,123.90193479921 10.2976748047737,123.901969937317 10.2976718470792,123.901992424503 10.2976648038156,123.902006488937 10.297657919238,123.902030997494 10.2976416406531,123.90204449766 10.2976280598569,123.902055762511 10.2976138192513,123.902062250607 10.2976017447831,123.902074395735 10.2975765050521,123.902075567499 10.2975685683279))","22","23","28","34",144.368600,"16","16",COLON ST.,RCP,,0.00,,,0.00,0.00,FUNCTIONING
